provider,n_accounts,items_spanned,items_readable,n_benchmark_misses,total_eur,miss_eur,accounts
Microsoft,13,PSO_ITM_530:711 | PSO_ITM_475:146 | PSO_ITM_464:84 | PSO_ITM_461:70 | PSO_ITM_458:26 | PSO_ITM_462:7 | XX_GOSHARED:7 | PSO_ITM_481:4 | PSO_ITM_463:1,PSO_ITM_464=Risk Projection Engine | PSO_ITM_461=CatNat Risks | PSO_ITM_530=Shine Azure consumption | PSO_ITM_462=Cyber Risks | PSO_ITM_475=Shine Capability | XX_GOSHARED=(Shared Cloud Consumption Native) | PSO_ITM_463=P&C Economic Model | PSO_ITM_458=Security Operations Center (SOC) | PSO_ITM_481=DLP Partially Managed,72,378744.64,19699.83,ags_prd_02[PSO_ITM_530/PSO_ITM_475/XX_GOSHARED]€121962 ; ags_prd_01[PSO_ITM_530/PSO_ITM_461/PSO_ITM_462/PSO_ITM_475/XX_GOSHARED]€116838 ; ags_prd_04[PSO_ITM_464]€47640 ; ags_npd_01[PSO_ITM_464/PSO_ITM_461/PSO_ITM_530/PSO_ITM_462/PSO_ITM_475/XX_GOSHARED]€44311 ; ags_ppd_02[PSO_ITM_530/PSO_ITM_475]€25037 ; ags_npd_04[PSO_ITM_464]€8225 ; ags_npd_02[PSO_ITM_530/PSO_ITM_475/XX_GOSHARED]€6186 ; gos_prd_01[PSO_ITM_458/PSO_ITM_481]€4792 ; ags_prd_03[PSO_ITM_461]€1945 ; ags_npd_03[PSO_ITM_461]€1351 ; go_npd_01[PSO_ITM_458]€452 ; ags_ppd_04[PSO_ITM_464]€3 ; ags_ppd_03[PSO_ITM_463]€3
Microsoft,3,PSO_ITM_1214:12 | PSO_ITM_395:12 | PSO_ITM_481:10 | XX_GOSHARED:8 | XX_IDENTITY:7 | XX_NETWORK:6 | PSO_ITM_477:6 | XX_GOSHARED_SUPPORT_MPI_RESOURCES:6 | PSO_ITM_469:5 | PSO_ITM_427:5 | PSO_ITM_446:4 | PSO_ITM_458:4 | PSO_ITM_1305:3 | PSO_ITM_393:3 | XX_GOCIO_GOSDLC:3 | XX_GOCIO_FLEXERA:2 | PSO_ITM_429:2 | XX_GOCIO_O365RESP:2 | XX_CYBERDEFENSE:2 | XX_WORKPLACE:1 | XX_GOCIO:1 | PSO_ITM_455:1,XX_NETWORK=(IT own Cloud consumption) | XX_GOSHARED=(Shared Cloud Consumption Native) | PSO_ITM_1305=Logboard Services | XX_IDENTITY=(IT own Cloud consumption) | PSO_ITM_1214=MPI Backup Azure | PSO_ITM_395=Symantec Protection Engine | PSO_ITM_469=Static Application Security Testing | PSO_ITM_481=DLP Partially Managed | PSO_ITM_446=Dynatrace Services | PSO_ITM_477=Silva4IT | XX_GOSHARED_SUPPORT_MPI_RESOURCES=(Shared Cloud Consumption MPI) | PSO_ITM_458=Security Operations Center (SOC) | PSO_ITM_393=Vulnerability Management | XX_GOCIO_GOSDLC=(GOSDLC) | XX_GOCIO_FLEXERA=(Flexera) | XX_WORKPLACE=(IT own Cloud consumption) | PSO_ITM_429=MPI Service Fee | XX_GOCIO_O365RESP=(0365resp) | XX_GOCIO=(IT own Cloud consumption) | PSO_ITM_427=DB DB2 Pattern | PSO_ITM_455=Microsoft 365 Core Services | XX_CYBERDEFENSE=(IT own Cloud consumption),18,266229.05,9616.51,ago-gl-mpi-sm-lz-eu-pr-01[PSO_ITM_1214/PSO_ITM_1305/PSO_ITM_458/PSO_ITM_395/XX_IDENTITY/XX_GOCIO/PSO_ITM_477/PSO_ITM_469/XX_GOSHARED_SUPPORT_MPI_RESOURCES/PSO_ITM_446/PSO_ITM_481/XX_GOCIO_FLEXERA/XX_GOCIO_GOSDLC/PSO_ITM_427/PSO_ITM_393/XX_GOSHARED/XX_NETWORK/PSO_ITM_455/XX_CYBERDEFENSE/XX_GOCIO_O365RESP]€244794 ; ago-gl-mpi-sm-lz-eu-pp-01[PSO_ITM_1305/XX_IDENTITY/PSO_ITM_1214/PSO_ITM_395/PSO_ITM_469/PSO_ITM_481/PSO_ITM_446/PSO_ITM_477/XX_GOSHARED_SUPPORT_MPI_RESOURCES/PSO_ITM_458/PSO_ITM_393/XX_GOCIO_GOSDLC/XX_GOCIO_FLEXERA/XX_WORKPLACE/PSO_ITM_429/XX_GOCIO_O365RESP/XX_GOSHARED]€11359 ; ago-gl-mpi-sm-hub-eu-pr-01[XX_NETWORK/XX_GOSHARED]€10076
Microsoft,7,PSO_ITM_541:23 | PSO_ITM_429:19 | PSO_ITM_577:17 | XX_CLOUDPRODUCTS_FINOPS:16 | PSO_ITM_435:16 | XX_GDAI:16 | PSO_ITM_441:13 | PSO_ITM_471:10 | XX_GOSHARED_SUPPORT_MPI_RESOURCES:10 | XX_BUSINESS&DATA:8 | PSO_ITM_395:6 | PSO_ITM_543:6 | XX_GOSHARED:5 | XX_GOCIO_VERTEX:4 | PSO_ITM_223:4 | XX_GOCIO_OUTSYSTEM:4 | PSO_ITM_530:4 | PSO_ITM_428:4 | XX_GDP:3 | PSO_ITM_458:3 | PSO_ITM_501:3 | PSO_ITM_442:3 | XX_CLOUDPRODUCTS:2 | XX_GSO:1,XX_CLOUDPRODUCTS_FINOPS=(FinOps Data Platform) | PSO_ITM_541=Data Integration Platform | PSO_ITM_395=Symantec Protection Engine | PSO_ITM_429=MPI Service Fee | XX_GOSHARED=(Shared Cloud Consumption Native) | XX_BUSINESS&DATA=(IT own Cloud consumption) | XX_GOCIO_VERTEX=(Vertex) | PSO_ITM_543=Master Data Management_Platform | PSO_ITM_223=Consolidation | XX_GDP=(Global Data Platform Azure Consumption) | PSO_ITM_471=EIP Platform | XX_GOSHARED_SUPPORT_MPI_RESOURCES=(Shared Cloud Consumption MPI) | PSO_ITM_458=Security Operations Center (SOC) | PSO_ITM_435=Communication | XX_GOCIO_OUTSYSTEM=(OutSystem) | PSO_ITM_501=DB Mongo Pattern | XX_CLOUDPRODUCTS=(IT own Cloud consumption) | PSO_ITM_442=Peoplesoft Finance | PSO_ITM_441=QA Platforms | PSO_ITM_530=Shine Azure consumption | PSO_ITM_577=TSDM Platform support | XX_GSO=(IT own Cloud consumption) | PSO_ITM_428=Financial Planning Services | XX_GDAI=(IT own Cloud consumption),6,98092.23,671.46,ago-gl-mpi-lz-shared-pr-01[PSO_ITM_223/PSO_ITM_541/XX_CLOUDPRODUCTS_FINOPS/PSO_ITM_441/XX_GOSHARED_SUPPORT_MPI_RESOURCES/PSO_ITM_442/PSO_ITM_577/PSO_ITM_543/PSO_ITM_471/XX_BUSINESS&DATA/PSO_ITM_435/PSO_ITM_530/XX_GOCIO_OUTSYSTEM/XX_GOCIO_VERTEX/PSO_ITM_429/XX_CLOUDPRODUCTS/XX_GSO/PSO_ITM_428/XX_GDP/PSO_ITM_458/XX_GOSHARED/PSO_ITM_501]€67303 ; ago-gl-mpi-lz-shared-pp-01[PSO_ITM_541/PSO_ITM_442/PSO_ITM_471/PSO_ITM_223/PSO_ITM_543/XX_GOSHARED_SUPPORT_MPI_RESOURCES/PSO_ITM_441/PSO_ITM_530/XX_BUSINESS&DATA/PSO_ITM_435/PSO_ITM_429/XX_GOCIO_OUTSYSTEM/XX_GDP/XX_GOSHARED/PSO_ITM_501]€13058 ; ago-gl-mpi-lz-shared-dv-01[XX_CLOUDPRODUCTS_FINOPS/PSO_ITM_541/PSO_ITM_395/PSO_ITM_429/XX_GOSHARED/XX_BUSINESS&DATA/XX_GOCIO_VERTEX/PSO_ITM_543/PSO_ITM_223/XX_GDP/PSO_ITM_471/XX_GOSHARED_SUPPORT_MPI_RESOURCES/PSO_ITM_458/PSO_ITM_435/XX_GOCIO_OUTSYSTEM/PSO_ITM_501/XX_CLOUDPRODUCTS]€9504 ; dcp-gl-shared-pr-01[XX_GDAI]€4511 ; dcp-gl-shared-pp-01[XX_GDAI]€2117 ; dcp-gl-shared-dv-01[XX_GDAI]€1191 ; dcp-gl-shared-hub-pr-01[XX_GDAI]€408
Microsoft,5,XX_GDAI:173 | PSO_ITM_359:7,XX_GDAI=(IT own Cloud consumption) | PSO_ITM_359=Secure GPT Platform,3,84741.45,1085.63,ago-gl-getd-pr-01[PSO_ITM_359/XX_GDAI]€53799 ; ago-gl-getd-dv-01[XX_GDAI/PSO_ITM_359]€13445 ; ago-gl-getd-pp-01[PSO_ITM_359/XX_GDAI]€10907 ; ago-gl-getd-openai-sb-01[XX_GDAI]€5938 ; ago-gl-getd-sb-01[XX_GDAI]€653
Microsoft,3,PSO_ITM_466:33 | PSO_ITM_461:9 | PSO_ITM_463:4,PSO_ITM_466=STEC aggregation | PSO_ITM_461=CatNat Risks | PSO_ITM_463=P&C Economic Model,4,57188.22,413.12,ago-gl-mpi-lz-rm-pr-01[PSO_ITM_466/PSO_ITM_463/PSO_ITM_461]€35186 ; ago-gl-mpi-lz-rm-pp-01[PSO_ITM_461/PSO_ITM_463/PSO_ITM_466]€13676 ; ago-gl-mpi-lz-rm-dv-01[PSO_ITM_466/PSO_ITM_461]€8326
Microsoft,1,PSO_ITM_530:2 | XX_CLOUDPRODUCTS_FINOPS:1 | PSO_ITM_504:1,PSO_ITM_530=Shine Azure consumption | XX_CLOUDPRODUCTS_FINOPS=(FinOps Data Platform) | PSO_ITM_504=Multi Cloud Orchestration,1,12558.93,2493.03,ago-gl-powerbifabric-pr-01[PSO_ITM_530/XX_CLOUDPRODUCTS_FINOPS/PSO_ITM_504]€12559
Microsoft,3,XX_GDP:17 | XX_LUNE:6,XX_LUNE=(Lune Azure Consumption) | XX_GDP=(Global Data Platform Azure Consumption),2,4008.81,0.06,ago-gl-dpgie-pr-01[XX_LUNE/XX_GDP]€3398 ; ago-gl-dpgie-dv-01[XX_LUNE]€552 ; ago-gl-dpgie-pp-01[XX_LUNE]€58
Microsoft,2,PSO_ITM_429:20 | PSO_ITM_450:3,PSO_ITM_450=Azure Forge S SDLC Platform | PSO_ITM_429=MPI Service Fee,6,2482.29,990.53,ago-gl-mpi-lz-pr01[PSO_ITM_429]€2239 ; ago-gl-mpi-lz-acc-pr01[PSO_ITM_450]€243
Microsoft,9,PSO_ITM_272:14 | XX_TO:7 | PSO_ITM_458:4,PSO_ITM_272=Managed Public Cloud Foundations | XX_TO=(IT own Cloud consumption) | PSO_ITM_458=Security Operations Center (SOC),7,1502.21,7.32,axa 365 foundation tool[PSO_ITM_272]€1289 ; axa 365 foundation safe[PSO_ITM_272]€157 ; axa 365 pp foundation safe[PSO_ITM_272]€15 ; soc ea foundation safe[PSO_ITM_458]€15 ; axa services cto foundation safe[XX_TO]€13 ; axa 365 pp foundation tool[PSO_ITM_272]€5 ; soc ea foundation tool[PSO_ITM_458]€4 ; axa services cto foundation tool[XX_TO]€3 ; axa services cto sandbox[XX_TO]€1
Microsoft,2,XX_NETWORK:5 | PSO_ITM_429:1 | XX_GOSHARED:1,XX_NETWORK=(IT own Cloud consumption) | PSO_ITM_429=MPI Service Fee | XX_GOSHARED=(Shared Cloud Consumption Native),2,890.53,394.32,ago-gl-mpi-shared-hub-dv01[XX_NETWORK]€496 ; ago-gl-mpi-shared-hub-np02[PSO_ITM_429/XX_GOSHARED]€394
Microsoft,1,XX_CLOUDPRODUCTS_CB:14 | PSO_ITM_577:2,PSO_ITM_577=TSDM Platform support | XX_CLOUDPRODUCTS_CB=(Cloud Brokers),22,868.83,940.72,ago-gl-mpi-lz-cbgo-dv-01[PSO_ITM_577/XX_CLOUDPRODUCTS_CB]€869
Microsoft,1,XX_CLOUDPRODUCTS:13 | XX_TO:2 | PSO_ITM_461:1,XX_TO=(IT own Cloud consumption) | XX_CLOUDPRODUCTS=(IT own Cloud consumption) | PSO_ITM_461=CatNat Risks,16,581.34,581.34,ago-gl-shared-sb-01[XX_TO/XX_CLOUDPRODUCTS/PSO_ITM_461]€581
Microsoft,2,PSO_ITM_272:5 | PSO_ITM_450:3,PSO_ITM_450=Azure Forge S SDLC Platform | PSO_ITM_272=Managed Public Cloud Foundations,4,64.95,30.16,azure paas foundation tools[PSO_ITM_272]€36 ; azure paas foundation safe[PSO_ITM_450]€29
Microsoft,4,PSO_ITM_455:7 | XX_TO:3 | XX_GOSHARED:2 | PSO_ITM_435:2,PSO_ITM_455=Microsoft 365 Core Services | XX_TO=(IT own Cloud consumption) | XX_GOSHARED=(Shared Cloud Consumption Native) | PSO_ITM_435=Communication,3,50.65,9.6,ags_sbx_01[XX_TO/XX_GOSHARED]€36 ; ags_sbx_03[PSO_ITM_435]€9 ; ags_sbx_02[XX_GOSHARED]€3 ; ago_sbx_01[PSO_ITM_455]€3
